content,score,sentiment
agak lag mohon di fix,3,negative
sangat terbantu dlm mencari kebutuhan yg di perlukan terutama alat2 mesin alat berat. tks,5,positive
good,5,positive
🫰🏼,4,positive
tokped aneh masa tiba2 saldo limit hilang semuanya.. kemrin masih ada sekarang 0 tidak ada sama sekali. padahal tidak di pake,1,negative
belanja mudah dgn tokopedia,5,positive
"kolom tagihan gak bisa dibuka, eror terus",1,negative
good🥰,5,positive
bagus,5,positive
bagus,4,positive
so far is good,5,positive
"saya sebagai penjual di tokopedia sangat merasa dirugikan dengan adanya potongan yang sangat besar, potongan masa iya sampe 5% lebih, ini sih bukan potongan lagi udah kaya japrem ormas minta proyek 👎",1,negative
aplikasi tidak bertanggung jawab atas masalah yang di hadapi buyer. saya membeli barang tetapi yang datang tidak sesuai deskripsi atau gampangannya saya tertipu. disini pihak apk sangat membuat geram di karenakan saya sudah melaporkan via email dan no customer service yang menanggapi malah AI tidak ada solusi dari pihak apk pelayanan customer service bintang 00000,1,negative
"Rada lemot saat memasukan barang ke keranjang suka eror,,,sudah di Update versi terbaru tetap saja lemot & utk diskon gratis ongkir kurang menarik",3,negative
"sellernya buruk, trus kurirnya juga sama nih, harapan gw cuman di CS care lah yakan, ternyata sama aja, gw tunggu duit dibalikin aja lah yah abs itu unlinstal",1,negative
praktis & cepat tanggap,5,positive
good,5,positive
ekspedisi pengiriman kurang beragam. untuk yang lainnya cukup memuaskan.,3,negative
"banyak bug, lagi checkout tiba tiba gangguan, dan masih banyak lagi.",2,negative
Aplikasi Bermasalah,1,negative
terjamin,5,positive
saat ini bagus,4,positive
"cuma aneh aja, kenapa sicepat masih dipake buat ngirim barang dari Tokopedia,kita pengguna aplikasi tidak bisa di berikan opsi untuk memilih siapa yang akan antar barang kita, secara otomatis sudah di tentukan oleh pihak Tokopedia. dan heran nya SI CEPAT masih dipakai, padahal ekspedisi ini begitu lambat, bahkan di daerah saya sudah pada tutup karena bangkrut, overload barang tidak sampai, tapi masih di pakai aneh... barang saya aja udah seminggu belum sampai masih d jalan wkwkkwk",4,positive
Saran untuk pengiriman bebas ongkir harusnya bisa milih jasa pengirimanya sendiri biar enak.soalnya kalau di recomenin dari aplikasinya pengiriman suka lelet.ngga sesuai yang kita harapkan.pengirimannya lama.gw tandain jasa pengiriman IDX lelet,1,negative
mantap,5,positive
retur barangnya mesti dipermudah karna ongkir msh ditnggung pembeli dan harus repot mengantar retur jdny merugikan banget,5,positive
aplikasi mulusss.....,5,positive
"sekarang agak ribet karna harus di singkron ke tiktok,klu mau jual barang",4,positive
Kenapa sampai saat ini saya tidak bisa melakukan pembayaran via transfer mandiri??...padahal saya sering bayar pakai transfer mandiri untuk tagihan2..,5,positive
"Sebagai pembeli barang yg saya terima tidak sesuai dgn pesanan,yg bikin kecewa lagi proses retur dan refund dana lama sekali hampir sebulan tidak ada kejelasan",1,negative
"terlalu bnyak seler penipu.....barang d dskon gede gedean.....6g datang hnya sofcas hp,atau pensin doang",1,negative
tokped skrng gk kyk dulu skrng mau jualan aja harus download tiktok ogah gua mah download tiktok,1,negative
"pesanan tiba-tiba dibatalkan, pesen lagi malah bilang akun ini melanggar persyaratan.. gak jelas !",1,negative
mantaps,5,positive
Aplikasi berfungsi dengan baik. Fasilitas pembayaran transaksi yang tesedia cukup lengkap. Tingkatkan pelayanan penjual dan kualitas barang agar tdk mengecewakan.,4,positive
aplikasi terpercaya sejak puluhan tahun lalu sebelum saya lahir,5,positive
krennnnn,5,positive
"Beli paket data kuota ditokped cuma 5 menit langsung habis, padahal baru hanya dipakai wa saja, ada apa? Sebaiknya diperbaiki. Terimakasih",1,negative
"semakin keren aplikasinya, dan semakin mudah cara menggunakannya",5,positive
aplikasi mayan bagus eh giliran gopay pinjam ada pas ngajuin selalu tida acc blm bisa tarik dana terus dah berapa kali. padahal paylater aman selalu bayar cuman naik limit nya super lama,3,negative
"Aplikasi belanja online sangat ribet, untuk komplain aja harus di bawa ke halaman ini itu",1,negative
"saya pesan air duster yang dikirim hanya plastik kosong, komplain lewat Tokopedia care susah dan berbelit-belit harus menunggu persetujuan penjual segala,lebih baik belanja di e-commerce lain saja",1,negative
Selalu ada kejutan,5,positive
Oke,5,positive
APLIKASI KENTIR 😁 MENDING TUKU NENG SHOPEEE DUWE KURIR DEWE / WES RA TAU TUKU NENG KENE,1,negative
"kalian bener bener ga bertanggung jawab si, pesenan saya hancur, dari seller pesanan baik baik aja, setelah pengiriman sampe kepada saya barang pecah,nominal barang juga ga murah lo, saya ngobrol bareng seller panjang lebar alhasil ketemu jalan tengah untuk ajukan banding. dari beberapa hari proses banding saya stuck gaada kejelasan sama sekali! chat cs ga berguna, ga ngasih solusi sama sekali. untuk yang lain, mending kalian pindah marketplace, jangan pake tokped. percuma admin ga berguna.",1,negative
Apk banyak penipu sulit pengembalian,1,negative
kenapa ya Tokopedia sekarang nyimpen barang di keranjang. kok suka hilang sendiri barang nya.,1,negative
respect. bagus segala sesuatu nya bisa di pertanggung jawabkan,5,positive
"beli cash, dibatalin sistem..pengembalian dana 14 hari, sdh 15 hari blm kembali..",1,negative
"Semakin payah, mau beli barang langsung keluar aplikasi, sudah di hapus dan download ulang tetap sama, berarti aplikasi tok0pedia semakin tidak bisa bersaing dengan toko orange.",1,negative
tokopedia aplikasi yang sangat tidak terpercaya dan tidak aman karena banyak seller di tokopedia penipu. saya harap hati hati belanja di platform ini. dan juga tokopedia care sangat tidak membantu berkali kali datang ke tempat sudah buat laporan polisi tetap saja tokopedia memihak ke seller yang jelas 2 ada indikasi penipuan. tidak dilakukan analisis mendalam dan cepat mengambil kesimpulan. barang yang saya belanjakan 24 juta dan hilang begitu saja karena ketidakprofesionalan tim tokopedia care.,1,negative
sungguh bagus barang barang nya harga nya juga lumayan.,5,positive
Bukannya tambah bagus tapi tambah sering error,1,negative
semua nyaman,5,positive
"aduuh,kurirnya pake sicepat.tapi lambat.gimana ini woi.rokopedianya sekarang jadi kurang respon.",2,negative
ok,5,positive
gopaylater sudah di aktifkan tapi tidak bisa di gunakan di aplikasi ini,3,negative
"Aplikasinya sih okay, tapi harga barang yang dijual di sana pada mahal.",2,negative
sesuai harapan,5,positive
"tokopedia melindungi penjual nakal. saya belanja di RS store bandarlampung sepatu tenis meja dawei, tapi tanggal 29/8 yang datang tidak sesuai dg deskripsi dan foto. sudah ke penjual tapi di bilang kurang bukti. chat ke TokopediaCare hanya robot yg jawab. barang sudah saya retur tapi pengembalian dana ke gopay later tidak ada. saya chat ke TokopediaCare yg katanya operator ternyata hanya dapat tiket. ga ada jawaban yg jelas saya sudah relakan kehilangan uang itu. apl toped juga akan di hapus",1,negative
semakin susah di mengerti aplikasi Tokopedia,2,negative
"sangat tidak cocok pengiriman barang yang lambat dan respon penjual yang gak di balas, nyesal download aplikasi Tokopedia sangat jelek",1,negative
Okay 👍,5,positive
bagus simple,5,positive
sudah gak pernah ada free ongkir kaya di apk lainnya,1,negative
"saldo 120rb hilang gitu aja , pesanan juga hilang gitu aja duit yang sudah di TF 45 RB pun gak balik , kasus banget ya tokopedia",1,negative
ini kenapa semenjak di ambil tiktok tokped jd amburadul,1,negative
fine,5,positive
"pembayaran ontime terus ,limit kok bisa turun wkwkwk. dah ah. capek.",1,negative
Tidak bisa memperbaharui aplikasi.,4,positive
"sistem mengalami nge-bug di tampilan transaksi, sudah pencet selesai tapi tampilan tidak berubah. tolong diperbaiki. makasih",3,negative
Bisa cod,5,positive
"tokped sekarang ga seperti dulu, pelit voucher.. untuk pesan paket di luar pulau jawa sangat mencekik ongkir nya, padahal di toko oren bisa free ongkir",1,negative
aplikasi badut .sering error ..gak jelas...malin kesini makin tolol nih fiturnya,1,negative
ok,5,positive
ok,5,positive
"paylater tertib bayar tagihan tapi limit tidak naik, terlambat bayar sehari nagihnya gak karuan. limit kecil, pemakaian terbatas, tidak bisa untuk beli pulsa, bayar tagihan dll . 👎👎👎👎",2,negative
tidak bisa update,2,negative
banyakin error,1,negative
jelek,2,negative
good,5,positive
"tokopedia ga jls bgt,masa' mau bls chat dari pembeli aja ga bisa,dari siang bls chat ga bisa2...kesannya kita ga respon chat pembeli.mn kmrn bl barang sameday driver gojeknya,bw barang prgi cm gr2 telat respon 3 mint...lm2 ga jls tokopedia. Pengiriman sameday kerna sangat butuh malah di krm 3 hari.sameday apaan yg transit sana sini.biasanya sameday itu langsung krm ga pke transit2.Lah skrg pke transit2,udah kaya' pengiriman standar.ga usah bilang sameday kalo baru di krm 3 hr...",1,negative
baru mau mencoba,5,positive
"semoga menjadi aplikasi online terpercaya dan terus perbanyak program-program kejutan lainnya, ""bravo tokopedia...!!!"". #catatan untuk TOPED : versi Apk TOPED seblumnya user friendly bgt, ada keterangan toko online/offline terakhir jam brp., versi skrg gk ad!., dan versi skrg agak berat LOADING nya. terkadang harus close dahulu trs masuk lgi.. trus payLater nya susah digunakan padhal sebelumnya mudah.. dan jaringan jdi sering error klw mau surfing atw mau ksh ulasan di TOPED.",5,positive
"tokopedia jembod mau ganti nomor aja di persulit, kaya pejabat aja lu, mau ganti nomor harus foto muka sambil pegang ktp, et dah gw cuma mau ganti nomor doang bukan pinjol... pas udah ada kode masuk, giliran di masukin kode nya, pasti ada notif ""terjadi kesalahan pada server bla bla bla""... tolong di perbaiki itu jut,",1,negative
paraahhhh... pajaknya bikin nyesek penjual,1,negative
usefull,5,positive
mayan,4,positive
sangat membantu,5,positive
Respon cepat Dan tepat waktu pengembalian Dana Tak diragukan bila pesanan cansel,5,positive
best,5,positive
banyak akun penipu sekarang mah tidak kya dulu,1,negative
"beberapa kali transaksi dibatalkan sistem... banyak toko gk aktif dengan rating bagus, satatus barang menunggu kurir sampai di batalkan sistem, chat toko gak ada respon, sungguh mengecewakan...",1,negative
"HATI-HATI TOKPED SUPPORT BANYAK TOKO PENIPU Dari juli ke agustus, 2x tokopedia menahan uang saya tanpa toko mengirimkan paket. Yang terbaru pesan tgl 08.08.2025 di toko maida69 tapi sampai tgl 13.08.2025 barang tak dikirim, chat saat mau pesan sampai sekarang tak dibaca, tokonyapun beralih gambar artinya aktif. Beginikah alurnya : tokopedia menarik uang para pembeli dan menahannya secara bergantian. Luarbiasa itu jumlah totalnya. Sungguh tak terpuji.",1,negative
puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya suka diluar estimasi,5,positive
terbukti sampai pada waktu yg divtentukanbdan harga sesui dengan barang,5,positive
Mohon diperbaiki bug.,1,negative
feenya makin nyekek semenjak gabung sm tiktok gws deh,2,negative
Sekarang menjadi aplikasi satu-satunya untuk belanja online yang terpercaya 😄,5,positive
Tidak bisa donload,5,positive
sangat ok,5,positive
makin lama makin tolol,2,negative
gimana sihhh... sudah di update masih aja suruh update,1,negative
Mau ajukan komplain harus menunggu lama,1,negative
layanan pengiriman sangat lama butuh lebih 10 hari baru barang tiba,1,negative
"sudah lama sy pake tokopedia, bagus banget pelayanan nya",5,positive
"Tolong Lah Admin Tokopedia Saya di tipu sama SEPTIAN CELL saya beli alat mining Rig +usb 100+powersupy 2 biji. tp yg katakan 1. Selumnya dia tidak mengirimkan barangnya sampai batas waktunya mau habis, setelah itu dia malah bilang katanya barangnya di kirim melalui expedisi lain di luar Tokopedia,tolong saya agar tetap masih bertahan di Toped, kalo Admin berpihak pada Penipu, yakinlah akan kalah saing dengan provider lain dan mungkin saya akan uninstal. tolong min🙏 serius ini aku dh lm di toped",4,positive
proses komplain yg merugikan pembeli..berbelit dan terkesan sengaja spy dana tdk kembali,1,negative
like,5,positive
aplikasi ini sekarang ruwet buruk saya hapus aja gak jelas beda kayak tahun tahun kemarin,1,negative
ada peningkatan,5,positive
Search engine (pencarian produk/toko) dan filter masih kurang tepat. Terkadang hasilnya tidak sesuai.,3,negative
good,5,positive
suka error tpi lumayan lah bagus,3,negative
Ada perubahan promo yang kamu pakai trus harganya mahal. Lawak harga sebelum sama waktu mau dibeli beda,1,negative
"sistem peraturan pinjaman di Tokopedia terlalu maksa pegawai nya setiap hari di tlpnin terus di teror terus seolah anda takut gak di bayar. gila aja dalam sehari sampai 100x nelpon ke member nya terlalu memaksa, menurut saya aplikasi nya terlalu menindas di kalangan bawah. gue harap kalian mau minjam di aplikasi ini mending uninstall aja aplikasi nya. nanti kalian menyesal.",1,negative
kalau ada cod lebih enak,5,positive
"toko bisa ngeblokir customer, tapi kenapa customer tidak bisa ngeblokir toko ya ? padahal upaya preventif jika ada toko nakal dan terlihat di FB jadi blokir manual oleh user/customer",1,negative
ok bgt,5,positive
tingkatkan terus pelayanan biar mantab .,5,positive
semoga lebih baik lagi,5,positive
pengiriman Pake JNT. paket gak sampai rumah. malah di antar ke rumah orang lain kurir Taya alamat sama orang ya sudah tua . satu lagi mau kirim gak kasih kabar dulu,1,negative
baru coba,3,negative
"refund dana sangat lama. saya sudah menunggu 2x24 jam juga masih belum di refund. disuruh menunggu konfirmasi seller, seller aja tidak balas chat costumer. aplikasi yang sangat cocok buat penipuan. gak lagi belanja di tokped.",1,negative
"kecewa sama tokopedia sekarang, dapat pengiriman yg sangat amat BURUK, sudah 14 hari gak Terima barangnya",1,negative
"pengalaman saya membeli barang menggunakan qris transaksi berhasil,tp ditokopedia msh dalam status lanjut bayar,saya tanyakan ke admin tokped,katanya tidak ada saldo yg masuk ke tokped,trus masuknya kmana tuh saldo saya klo bukan ke tokped menggunakan qris.hati"" semua yg bayar menggunakan qris,bisa lenyap uang anda.dan dr tokped nya ga ada pertanggung jawab uang saldo yg dikirim anda ke tokped hilang bgitu saja,buat pembelajaran.salam sehat dan waras.",1,negative
"paket sudah 1 bulan ga sampe, dari admin Tokopedia care bilang diusahakan terus. Parah sih penanganannya.",1,negative
It works!,5,positive
"- Kasus pertama order mesin cuci, belum di klik pesanan selesai sudah otomatis terselesaikan. padahal barang belum diterima. tidak bisa di complain karena sudah otomatis pesanan terselesaikan. - kasus selanjutnya alamat dan no penerima berubah sendiri. Dan dengan otomatis status pesanan terselesaikan sendiri. gimana ceritanya bisa berubah sendiri.",1,negative
barang barang di toko pedia rata-rata tidak mengecewakan dan kebanyakan oRI semua mantap🔥🔥,5,positive
aplikasinya sangat bagus,5,positive
aplikasi paling ribet dan lola.... udah punya pin pun mesti verifikasi lagi...bahkan sudah ganti nomor hp Mala mau verifikasi ke nomor yang lama... aplikasi dodol,1,negative
⭐⭐⭐⭐⭐,5,positive
apk cacat .. udah CO pake promo 8.8 malah tiba² cancel sendiri .. kocak,1,negative
jasa pengiriman nya sangat aneh terlalu bnyak muter dan drama nyesel kemarin kasih bintang 5,1,negative
"aplikasi gak jelas pembayarannya, biar gak pusing cari uang pas, saya bayar di alfamart tapi selalu berbeda, bayar di afamart 65.000 setelah bayar tercatat di aplikasi 62.500. pernah suatu kali gak bisa bayar di alfamart, pilihan saya bayar cod Rp. 33.900 kurir datang mengantar barang tagihannya Rp. 40.000. sialnya di resi gak tercatat berapa duit saya mesti bayar. inilah jeleknya tokopedia, saya gak mau menghalangi pekerjaan kurir, saya bayar berapa yang dia minta walaupun saya dongkol.",2,negative
lumayan membantu Aplikasi nie sangat sangat keren banget,5,positive
"menurut saya aplikasi tokopedia ini ok,bagus dan mudah,yg saya suka ada fitur tokopedia card'nya yg g dimiliki sama merchent"" yg lain.",5,positive
mantap,5,positive
Recomend,5,positive
oke aja,5,positive
why play store can't update this app?,2,negative
"pengiriman semua ekpedisi lama, bekasi Karawang bisa 4 hari lebih gilaa sih pelayanan buruk",1,negative
Alhamdulillah banyak pilihan,5,positive
ga ada promo lagi,5,positive
"barang banyak yang murah dan gak murahan, namun keberatan dengan biaya ongkir yg mahal",4,positive
tokopedia knp saya ga bisa upload resep..sm knp tiktokpaylater saya ga bs di pake,3,negative
makin update makin buruk sekali. toko yang di folow hilang semua 👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,negative
"Makin ruwet, saya yakin kedepan Tokopedia akan hancur kalo tidak konsisten, mekanisme ruwet semenjak merge sama t*ktok",1,negative
Good,5,positive
"apk bapuk gua punya saldo tokped, gua pake buat isi tap cash gua mau di update saldonya malah ngga masuk",1,negative
pelayanan cs lama udah gitu susah dihubungi. mau hapus akun aja susah berhari² ga ada solusi. bener² mengecewakan aga nyesel sih download apk ini.,1,negative
Cara cepat dan hemat dalam berbelanja,5,positive
good,5,positive
"BANYAK PENJUAL NIPU, BARANG DATANG TIDAK SESUAI, AJUKAN KOMPLAIN HARUS NUNGGU PERSETUJUAN PENJUAL, SUDAH JELAS ADA VIDIO & NO RESI'Y,,",1,negative
g bs update kenapa yaaaaaaaaaa,2,negative
"dicoba dulu lah,setelah ganti hp ram 12/512 apakah masih error dan lambat,kalo masih aja lambat dan error berarti aplikasinya yang gak jelas",3,negative
bisa bayar PBB,5,positive
data pengiriman semakin menjadi tidak jelas.,3,negative
"praktis, murah, mudah, banyak pilihan",5,positive
error melulu,1,negative
Mantap..,5,positive
"beberapa kali saya mengalami masalah barang tidak datang dan melakukan pengajuan atau bantuan ke admin dan yah, robot bukan manusia yg bantuin, mending shopee ada call center yg bisa di hubungi loh 24 jam langsung selesai masalah, ini 2 minggu gk selesai masalahku. ini terakhir aku pake tokped. makasih pengalaman buruknya",1,negative
masih di blok aja akun. gw,1,negative
nice,5,positive
banyak penipuan juga. di komplen tidak membatu konsumen lebih mambatu ke penipunya. uninstall aja ga guna,1,negative
"selalu minta update, sekarang mau instal susah harus hapus aplikasi lain. aku udah hapus 3 aplikasi tetep aja ga bisa instal. tolong perbaiki kualitas aplikasi nya",1,negative
"aplikasi banyak seller penipu, hati2",1,negative
mudah dipahami & juga ongkir murah,5,positive
mantap,5,positive
sampe skrng udah belasan tahun pakai Tokopedia,5,positive
kok sekarang saya sudah tidak bisa masuk lagi ya bos,1,negative
Tolong perbaiki harga tidak terlihat ketika memakai mode dark mode karena sama-sama hitam.,3,negative
apknya sangat bagus,5,positive
"Jawaban Tokopedia Care kenapa template, gak ada ngasih solusi sama sekali 🤮🤮",1,negative
"Voucher dan diskon saat checkout tidak sinkron dengan harga, jangan jadikan voucher sebagai embel embel saja, tetapi di buktikan secara nyata !!!",2,negative
"Retur bukanya uang kembali, malah barang udah di kirim balik ke penjual ehh uangnya ga di kembalikan sama penjual. Padahal sebelumnya udah deal buat retur sama penjual, proses retur juga susah, lama. sudah Hubungi pihak Tokopedia juga ga ada balasan.. Parahh. bukanya balik modal malah di kibulin pembeli.. BINTANG 1 BUAT INI APLIKASI.",1,negative
hebat juga,5,positive
"respon cepat,mantaaaaap..",4,positive
dulu beli drone pasti nyari di tokped😔😔,5,positive
mantap,5,positive
apl sangat bagus,5,positive
luar biasa,4,positive
"males banget lah, mau ngubah no telp aja perlu verifikasi ktp segala. dikasi promo giliran dipake malah transaksi dibatalin, trus alasannya pelanggaran. lah orng cuma beli vocer game pake promo yg dikasi ngelanggar dari mana coba",1,negative
maju terus tokopedia demi mendorong sektor ekonomi secara globalisasi..sukses,4,positive
"tokopedia menipu pembeli,saldo yg aku tarik ke rekening malah mereka mempersulit dan sengaja mau menipu pembeli",1,negative
bagus.,5,positive
aplikasi nya udah bagus cuma dari segi penjemputan paket nya atau pick up lama banget,1,negative
di beranda fitur titik 3 untuk menghapus konten produk gk berguna sama sekali,1,negative
"Bagian pengiriman fitur ongkir bermasalah, cs dichat agen super slowrespon ggwp tokped",1,negative
Saya Suka Belanja di Sini Yang Penting Barang Hori Sesuai gambar Dan Ongkir murah + Harga barang Terjangkau,5,positive
gk bisa install,1,negative
baik,5,positive
pindah ke lapak orange coz g pernah lagi dapat voucher diskon,3,negative
Gak bisa masuk aplikasinya,1,negative
mantab,5,positive
kebanyakan fee tapi free ongkir ga jelas,1,negative
"hiburan ,aku TDK bisa liv",5,positive
"Habis pakai sicepat. Terbitlah ekspedisi J&T buangan shopee. Paket saya pun nyasar ke Batam. Ada-ada aja kerjaan tokopedia nih. Emang sudah seharusnya di hapus tokopedia ini, gak usah dipakai lagi.",1,negative
mantabss,5,positive
mantap,5,positive
udah ga nyaman dan ga aman transaksi di tokopedia.,2,negative
bagus,5,positive
"lelet, mau buka opsi pembayaran nge-stuck ngk mau load udh ditunggu lamaaa bgt ttp ngk kebuka pdhl sinyal Wifi 50mbps",1,negative
"tokopedia sangat membantu dlm belanja kebutuhan. kadang di cari langsung secara online tdk ada, tp di toped ada. Tapi ada beberapa toko yg tidak respon/tdk melakukan pengiriman pesanan pd hal sy sdh bayar n ongkos instan. sampai dibatalkan otomatis oleh sistem yg memakan waktu. memang uang balik ke dompet toped. tp sy selaku pembeli dirugikan secara waktu tolong di di tidak lanjuti toko seperti ini, atau sy usul batasi waktu respon/atau ubah status menjadi dikirim menjadi 1 jam btl otomatis.",5,positive
oke,5,positive
baik,5,positive
"12 Agt 2025: CS yg namanya DWI endchat laporan gue. 15 Feb 2025: Aplikasi helpdesk yg sangat tdk ngebantu. Udh dikirim brng dinyatakan hilang. Brng hilang uang hilang walo itu cuma 29ribu. Kecewa berat dg pihak Tokopedia beserta kurir²nya. Enak aja nyuruh edit ulasan, kenyataan si chatbot sama sekali ga ngebantu. Mana responnya lama. Emang kerjaan gue cuma nungguin balasan admin Tokopedia doang. Sygnya rating min bintang 1. Kalo ada yg ga berbintang maybe kualitas tokped skrg adl itu bagi gue",1,negative
apl tolol,1,negative
"bgst... tiba"" dibatalkan sendiri ,pdhl sudah proses pengiriman sampai 4 hari,,njngg... cmn uang pembelian yg kembali, untuk ongkos kirimnya nggak...",1,negative
OK tinggal menunggu barang,5,positive
Kalau ga pakai promo bisa check out kalau pakai ga bisa.,1,negative
hati2 penipu banyak di tokped.,1,negative
keren,5,positive
"kapok pake aplikasi ini, mikir2 lagilah klo mau transaksi d aplikasi ini, aplikasi parah, pengembalian barang, customer menanggung biaya pengiriman, yang pastinya merugikan, padahal memang barang rusak dan tidak bisa dipkai, SARAN SAYA BERHENTI GUNAKAN TOKOPEDIA, HARGA MAHAL, PENGEMBALIAN BARANG CUST YANG TANGGUNG BIAYA KIRIM, YANG PASTINYA MERUGIKAN, PERTIMBANGKAN INI",1,negative
"kenapa sekarang daptar payleter sulit banget si, harus pake kode refferall segala sedangkan saya Uda sering belanja di toped tolong dong jangan di persulit...min",5,positive
baik,5,positive
Bagus layanannya,5,positive
ekspresi di cepet bobrok bareng lama di kirim gak tau sampe di mana tiba² barang balik ke penjual kecewa saya pake pengiriman si cepet,1,negative
belanja di tokopedia murah murah,5,positive
aku ok,5,positive
"dulu aman sekarang banyak scamer nya, untuk melapor akun scamer juga sulit.",1,negative
"minta tolong kalo laporan gak usah ribet"" nyuruh laporan udah tinggal ngirim gak bisa"". orang ketipu ya gak kecil nominalnya",3,negative
"mantap , belanja di tokped harga barang dengan kualitasnya lebih sesuai",5,positive
tidak responsif dan pengguna harus menunggu lama ketika mengalami masalah. saya mengalami masalah dengan paket saya dan ingin mengajukan komplain tetapi harus menunggu lama untuk pengajuan komplain,1,negative
terima kasih,5,positive
"Costumer komplen tidak ada solusi, cuihh",1,negative
"tokopedia banyak promo, diskon dan gratis ongkir. pertahankan ya",5,positive
"Sudah mulai kecewa dengan tokped., komplain barang respon mengecewakan., pengiriman juga di lempar lempar antara kurir A ke Kurir B.,alhasil status sudah sampai, kenyataannya barang sama sekali belum di terima., apakah seperti ini prosedurnya.,gmn cara komplainnya???klw pelayanan tokped care saja juga mengecewakan 😞",1,negative
"aplikasi gajelas, biasanya belanja selalu aman aja ga melebihi estimasi,tapi sekarang melebih estimasi terus udah ajukan komplain ditolak terus kacauuu makin lama tokopedia",1,negative
top,5,positive
"akun saya take over tidak bisa digunakan, dihubungi cs tapi tidak ditanggapi.... sudah 7 tahun saya pakai ini akaun kenapa jadi take over aplikasi tidak aman",1,negative
"tolong untuk developer. bila ada toko yang tidak beraktivitas selama beberapa hari tolong block atau tutup saja. membuat para konsumen menunggu pesanan saja, di chat tak ada respon. tolong di telisi lagi",5,positive
mantap mudah dan sudah di kasih tokped credit card,5,positive
gak lagi lagi beli token disini. lama banget prosesnya. gak kaya beli di shopee langsung terkonfirmasi. hadeehh tolong lah. perbaikin sistemnya,1,negative
"bayar angsuran kredit kredivo sekarang di tokped susah+ lemot,, udh berjam jam masih menunggu konfirmasi operator.. kualitas tokped makin lama makin menurun..",1,negative
"aplikasi yg sangat buruk, tempat para penipu online bebas sistem pengembalian dana dipersulit!!!!",1,negative
