content,score,sentiment
shoppe emang the best dan yg terbaik,5,positive
"sangat baik, promo dan voucher diskon melimpah.",5,positive
nice,5,positive
mantap,5,positive
bisa membantu blaja dari rumah....,5,positive
"aplikasi belanja sangat bagus,z suka🥰🥰",5,positive
semuanya ada disini..hny kurang faham promo²,5,positive
ra jelas.,1,negative
sangat suka belanja di shopee,5,positive
bintang satu sangat tidak di rekomendasikam Shopee sekarang pengantarannya lama dan kurir sangat tidak ramah,1,negative
apk bagus dan memuaskan,5,positive
terima kasih kepada pihak shopee atas pelayanannya yang beik cepat serta tepat tidak seperti toko ijo,5,positive
saya kasih bintang 5 karena saya pernah dibelikan baju oleh kakak saya dan katanya beli apapun di shopee itu wort it banget,5,positive
👍,5,positive
belanja gk ribet,5,positive
bagus kita bisa belanja lebih murah dan lebih hemat saya pertama kali lansung pengen borpng semua nya terima kasih shopee indonesia,5,positive
"selama ini baik-baik saja, terimakasih semoga semakin baik, dan program video dapat cuannya diadakan lagi ,,",5,positive
beli di shopee barang berkualitas dan harga terjangkau,5,positive
"menurutku aplikasi cocok untuk orang yang mager karena tinggal mencet sela 2 hari datang deh , tapi untuk rikomen nya kalian harus milih yang harganya agak mahal biar datang nya gak ngecewain",5,positive
shopee jadi langganan,5,positive
"sangat membantu tidak merepotkan , untuk barang sesuai dengan pesanan kurirnya cepat sampainya terimakasih untuk harganya lebih irit di dompet aplikasi ini tidak mengecewakan.",5,positive
mohon ketika ingin download Mb/GB nya besar sekali hp saya android jadi tidak cukup sampai-sampai harus menghapus memori pdahal memori saya rutin saya bersihkan 🙏 dimohon diperbaiki mb apk Shopee Indonesia Trm.,3,negative
luar biasa,5,positive
good,5,positive
bgus,5,positive
Sekarang pihak toko pinter2 rata rata GK mau ngaktifin COD Cek Dulu... Biar barang yg udah d beli GK gak bisa di cek... gak taunya dalamnya gak sesuai pesanan... TOKO BANYAK PENIPUNYA... SEDANGKAN PIHAK SHOPEE LEBIH PERHATIAN KETOKO KETIMBANG PEMBELI...,1,negative
murah meriah,5,positive
"Kemarin level member saya sudah hampir platinum, lalu saya buat pesanan utk mencapai platinum, saya klik pesanan selesai agar berubah ke platinum , tapi malah ke permulaan gold lagi. kenapa begitu, saya sangat kecewa.",1,negative
𝙩𝙚𝙧𝙞𝙢𝙖𝙠𝙖𝙨𝙞𝙝,5,positive
barang bagus pengiriman cepat next order again,4,positive
"bagus bgt. aku sukaa cuma gara gara voucher vip, jadi kesulitannn.",4,positive
bagus banget barang barang nya ada vocer juga,5,positive
bagus dan membantu,5,positive
"saya pengguna shopee untuk waktu lama,sdh dr awal shopee ada selama bulan terakhir ini pengiriman sangat lama semua,sekarang sering terlambat,apakah sudah saatnya menghapus sophee.saya sarankan untuk yang mau menggunakan harus mikir 3 kali lg dulu 2 sampai 3 hari pengiriman sampai sekarang 5 sampai 1 minggu",1,negative
mantap,5,positive
belanja online yg bagus,5,positive
dapat di percaya,5,positive
Menyenangkan puas banget dan mudah banget digunakan,5,positive
shope ini keren gratis ongkir tapi saya wakru itu ke tipu sama tukang shopee nya.,5,positive
Terima kasih Shopee 🙏Semoga Amanah selalu 😇,5,positive
ok,5,positive
belanja makin mudah dan praktis,5,positive
shopee sangat membatu sekali dan pengiriman tepat cepat manfaat,5,positive
👍,5,positive
"bagus, namun fitur shoppy paylater dan shope pinjam blm ada",4,positive
pngirimannya Cpt brngnya aman*,5,positive
selalu memberikan yang terbaik😍😍😍,5,positive
sangat bagus,5,positive
shopeee asuuuu anjinggg bangsattttt jancokkkk kambing bener banyak iklan nya asuuu di pencet x nya kagak bisa asuu anjing shopee bangkek,5,positive
sangat membantu dan memudahkan dalam mencari kebutuhan apa saja. hanya sayangnya banyak toko abal² yg hanya mencari keuntungan dgn cara menipu keaslian barang² yg dijual. harapan kami smoga shopee memiliki ketegasan sikap kpd toko yg spt tsb diatas. agar shopee tambah maju dan lebih keren lagi 🙏,5,positive
👍🏻👍🏻👍🏻👍🏻👍🏻,5,positive
tidak ada aplikasi sebagus shopee.. sangat mudah buat belanja banyak bonusnya pokonya mantap..,5,positive
Min mohon bantuannya tadi updatenya gagal. Ini update lgi. Mohon di permudah supya bisa belanja Onlinenya.,5,positive
"Saya suka berbelanja di shopee karena gak perlu lagi repot "" harus keluar rumah cari keperluan kalau lagi mager",4,positive
saya sudah belanja di shopee amanah tpi kenapa Shopyleter saya selalu gagal,2,negative
shopee bagus loh!!,5,positive
"menyenangkan belanja di shopee, sayang paylater gak naik-naik... hehehe.... top lah...",5,positive
sangat membantu,5,positive
apk nya oke bnget,5,positive
baik,5,positive
aplikasi sangat membantu pengeluaran dan teratur..thanks shopee,5,positive
sangat puas belanja di shopee pesanan ya selalu sesuai dengan gambar yg tertera,5,positive
tepat waktu,5,positive
"kenapa ya telat sekali di payleter dan ada keterangan 60hari akan aktif lgi payleternya, akan tetapi sdah lebih 60hri tetap tidak bisa paylatet sya. teman² apakah ada yg mengalami seperti sya?",4,positive
ok,5,positive
untuk sementara ini saya berikan Nilai cukup 3 bintang saja dulu ... apa bila pelayanan kedepan nya Baik dan lebih bagus dari sebelum nya pasti akan saya tambahkan lagi bintang nya !!!!! 👍🙏,3,negative
shopee mmg top,5,positive
saya setuju,5,positive
bagus,1,negative
ter baik,5,positive
tempat belanja yg simpel,4,positive
ok,3,negative
liat gudang lu,1,negative
mantap tap tap tap👍,5,positive
blanja disopi Sagat memuaskan,5,positive
aplikasi shopee bagus,5,positive
ok mantap pokoknya,5,positive
bagus,5,positive
sangat membantu,5,positive
"app berat bgt gatau kenapa, selalu bug padahal jaringan lancar aja, lag tiba tiba kirain dari hp sy tapi ternyata bukan tolong dibaikin lagi agar lebih nyaman pakai nya.",3,negative
suka dengan apk ini barangnya real,5,positive
mantap sekali gan,5,positive
Mantaf dan puas,5,positive
bagus,5,positive
discountnya menarik,5,positive
tolong di permudah untuk daftar di shopee player letter,5,positive
sangat bermanfaat nice,5,positive
S PINJAM ASU SUDAH DILUNASIN MASIH AJA MENEROR BUNGA GK NGOTAK,1,negative
ok,5,positive
kenapa spyaleter saya TDK bisa padahal sudah bayar,3,negative
belanja sangat mudah dan cepat pelayanan bagus tidak mengecewakan top shopee juara di hati,5,positive
mantape,5,positive
"tolong diperbaiki pengirimannya, kalau memang ga sanggup untuk mengelola pengiriman gausah maksa bikin jasa pengiriman paket. maksa pengen dapat lebih banyak pemasukan tapi tidak dibuat betul, paket lama sampe padahal barang urgent untuk kerja, sudah dihubungi online katanya bisa tgl yang diinginkan tapi nyatanya telat lebih dari 2x24 jam, akhirnya repot nyari barang offline dan rugi beli 2 kali",1,negative
aplikasi sangat membantu,5,positive
tidak bangus. toling di perbaiki,2,negative
Shopee is the best,5,positive
Shope emang the best pokok nya mantap dah,5,positive
mantap,5,positive
yap terimakasih karna shopy beli gak perlu jalan sendiri tinggal pesen Dateng kerumah mantapppppppppp,5,positive
mudah gak ribet juga,5,positive
ini apk ontok cod sesuai tapi kalok yg agk mahal GK ush lh,4,positive
"Fitur sangat bagus, jelas dang lengkap",5,positive
tambah pocher potongan harga+ ongkir nya,5,positive
ok,5,positive
👍,5,positive
Ronaldo goat,5,positive
Good,5,positive
Sangat Bagus,5,positive
"Mantap selalu ada ongkir gratis nya, dan semoga limit paylater nya meningkat, karna limit yg sekarang ga cukup buat beuli barang yg saya inginkan",5,positive
baik,5,positive
semoga seller shopee selalu amanah 👍👍,5,positive
lemot sekali skrg,3,negative
sangat mudah untuk orderan online,5,positive
istimewa,5,positive
simple nggk ribet,5,positive
perasaan saya belum pernah bikin pasword pas Login ko harus pakai pswrd. kalau login pakai wa baru bisa. wa sanggan menggangu!!!,3,negative
minta tolong untuk dibenahi dalam bagian percakapan/chat di Shopee sih. Jaringan sudah okey pakai banget tapi leletnya minta ampun buat ngirim foto/video di chat. Bahkan sekelas pesan aja lama banget. Tapi giliran dapat pesan dari lawan bicara di chat gercep banget sampainya.,1,negative
saya belum bisa menggunakan limit paylater,5,positive
👍👍👍,5,positive
So far so good,5,positive
Belanja di. Shopie lebih nyaman,5,positive
"tetap beri kan bintang 5..emang terbaik sih shopee..tapi akhir"" ini kok makin kacau estimasi nya,udh dengan waktu berhari hari tak ada berubah"" estimasi..udah tepat tgl estimasi nya,,jangan kan berubah,tak ada berubah estimasi nya,hanya sedikit masukan, mohon di tingkatkan..karna serba salah jg karna dgn terbentur nya waktu dengan antara ketemu dengan kurir...awal nya kita punya kesibukan di luar,kita rela batalkan demi menunggu kurir,akhir nya GK jadi pengantaran...tiba kita keluar,kurir dtg",5,positive
mantap,5,positive
baik,5,positive
sangat bagus,5,positive
👍👍👍,4,positive
Good,5,positive
pengalaman sy soppie tempat belanja yg terbaik,5,positive
Bonus,5,positive
Makin sini biaya potongan produk penjualan seller shopee makin besar sudah tidak layak untuk usaha jadi mending berjualan offline aja,1,negative
ok,5,positive
siipp,5,positive
blanja,5,positive
😁😁mantap,5,positive
shopee the best,5,positive
serba gampang banget kalo pake shopee😗,5,positive
mantapppppppppppp,5,positive
kalau bisa tlong lebih di perbaiki lagi harga pengirimannya terkadang ongkirnya lebih kemahalan dri pada barang yg mau di beli apalagi pke spaylater...,4,positive
"Belum pernah mengecewakan dalam bertransaksi, nyaman dan terpercaya.",5,positive
bagus,5,positive
nice app,5,positive
Shopee belanja online paling top.!!! Tidak seperti apl biru yg pernah tak sesuai dengan tampilan gambar nya wkwk,5,positive
"Setiap beli celana, sepatu barang yang datangnya tidak sesuai ukuran selalu beda dan beli barang yang lain tidak berkualitas.",5,positive
bagus,5,positive
"percuma ada pilihan SPX Regular sama SPX Hemat kalo ke2 nya sama2 lemot parah, gak ada perbandingan yang mencolok antara ke2 itu, SPX Regular kebanyakan paketnya dateng nya sama kaya Spx Hemat",1,negative
cukup baik dan cukup puas,5,positive
tolong ya shoppe kalau ngirim jangan lama. harus muter muter dulu. beda sekali sama tiktok di pesen jumat langsung nyampe,1,negative
nice,5,positive
sangat puas,5,positive
"kurir& sistem gak bagus,barang gak jelas diterima , parah",1,negative
shopee mantap,5,positive
Saya sangat puas belanja dengan aplikasi ini.Barang yang saya beli dari iklan di aplikasi ini sesuai dengan yang diiklankan,5,positive
josss,5,positive
aplikasi bagus harga aman dikantong smoga selalu amanah,5,positive
bagus,5,positive
bagus,5,positive
mantap,5,positive
"shopee sangatbagus,barangnya juga bagus bagus,",5,positive
"usia SDH 66 th, keluar negeri baru singapur dan Thailand dng adanya aplikasi ini Insya Alloh dpt melihat benua yg lain.",5,positive
ok,5,positive
bagus,5,positive
Shopee sangat selektif,5,positive
Ok,5,positive
mantapppp,5,positive
bagus .asli .orijinal Ok ernah beli palsu KLO in asli .di jamin asli,5,positive
Mantab,5,positive
iklan anda mengganggu.menurut saya anda terlalu banyak iklan khusus nya di web atau di situs. saya kalo baca komik di web keganggu oleh iklan anda. masalah nya iklan kalian menyeret saya langsung ke Aplikasi shope. apk shope secara otomatis terbuka padahal saya lagi baca komik di web. perasaan lazada dan tokopedia tidak seperti itu dalam promosi. mereka menampilkan apk mereka tidak memaksa kita untuk buka Apk mereka ga kaya shope yang memaksa kita masuk ke apk. makanya saya hapus apk shope,1,negative
"BURUK , sekian dan terimakasih",1,negative
ok,5,positive
"untuk pengiriman spx sangat rusak brg tidak dikirim malam dibuat keterangan orang tidak ditempat dan tidak bisa dihubungi pdhl saya nunggu paket dan no saya juga aktif,,pdhl belanja di Shopee enak ini malah kurang di jasa kirim nya",1,negative
hebat sekali,5,positive
"bagus,baik,mudah,banyak promo,banyak gratis ongkirnya,sangat puas😍😘",5,positive
sangat bagus,5,positive
bagusss,5,positive
sangat memuaskan,5,positive
"aplikasi belanjanya bagus tp penyelesaian masalah di pusat bantuan buruk banget, bukti kerugian udah dikirim jelas tp malah lepas tangan",1,negative
buruk spinjam saya sudah lunas sudah lama tapi nggak bisa ngajukan lagi,1,negative
"mudah, murah dan nenyenangkan",5,positive
